ticket_text,category,priority
"Can you add keyboard shortcuts for mobile app Low priority, just wanted to check.",Feature Request,Low
It would be great if dashboard supported dark mode Would appreciate a fix in the next few days.,Feature Request,Medium
"How many users can I add under the Enterprise plan This is a minor issue, whenever convenient.",Product Inquiry,Low
My account got suspended and I do not know why This is a major issue affecting our production system.,Account Access,High
My account got suspended and I do not know why Not blocking me completely but it's annoying.,Account Access,Medium
Can you add keyboard shortcuts for dashboard Please look into this when you get a chance.,Feature Request,Medium
"How many users can I add under the Premium plan Just curious about this, not urgent at all.",Product Inquiry,Low
"Requesting a bulk upload option in dashboard This is a minor issue, whenever convenient.",Feature Request,Low
"Please consider adding multi-language support to export tool Low priority, just wanted to check.",Feature Request,Low
"The mobile app button does nothing when I click it This is urgent, I need this fixed immediately.",Technical Issue,High
The app keeps crashing every time I open the file upload section This has been broken for 3 days and no one has responded.,Technical Issue,High
"The website is extremely slow when I access export tool No rush, just wanted to flag this.",Technical Issue,Low
I lost all my data after the search update This has been broken for 3 days and no one has responded.,Technical Issue,High
"I would love to see offline support for reporting Just curious about this, not urgent at all.",Feature Request,Low
"Can you add keyboard shortcuts for chat support This is a minor issue, whenever convenient.",Feature Request,Low
chat support is not loading at all on my device I have a deadline today and this is critical.,Technical Issue,High
Someone else may have accessed my account without permission I have a deadline today and this is critical.,Account Access,High
A calendar view for chat support would be really useful Not blocking me completely but it's annoying.,Feature Request,Medium
What integrations are supported with reporting Would appreciate a fix in the next few days.,Product Inquiry,Medium
I need a refund for the Enterprise plan I cancelled last week This is affecting my work but I have a workaround for now.,Billing,Medium
"The chat support button does nothing when I click it Just curious about this, not urgent at all.",Technical Issue,Low
"The app keeps crashing every time I open the export tool section This is urgent, I need this fixed immediately.",Technical Issue,High
Please add an export option to mobile app This has been broken for 3 days and no one has responded.,Feature Request,High
Someone else may have accessed my account without permission This is affecting my work but I have a workaround for now.,Account Access,Medium
Can you explain the extra charge on my last Pro invoice Not blocking me completely but it's annoying.,Billing,Medium
Do you offer a trial for chat support before upgrading Please look into this when you get a chance.,Product Inquiry,Medium
I want to update my payment method for annual Please look into this when you get a chance.,Billing,Medium
"The website is extremely slow when I access dashboard Low priority, just wanted to check.",Technical Issue,Low
"What is the difference between monthly and the free plan No rush, just wanted to flag this.",Product Inquiry,Low
"My account got suspended and I do not know why Just curious about this, not urgent at all.",Account Access,Low
I forgot my password and the reset link is not working This is affecting my work but I have a workaround for now.,Account Access,Medium
"I would love to see offline support for mobile app Just curious about this, not urgent at all.",Feature Request,Low
Getting a 500 server error on the chat support page Please look into this when you get a chance.,Technical Issue,Medium
I need to change the email linked to my account This is affecting my work but I have a workaround for now.,Account Access,Medium
I lost all my data after the analytics update Would appreciate a fix in the next few days.,Technical Issue,Medium
"Why did my card get billed for monthly when I already cancelled This is blocking my entire team from working, please help ASAP.",Billing,High
Can I use dashboard on multiple devices This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
What integrations are supported with file upload Please look into this when you get a chance.,Product Inquiry,Medium
"Someone else may have accessed my account without permission This is urgent, I need this fixed immediately.",Account Access,High
"Can I use analytics on multiple devices Just curious about this, not urgent at all.",Product Inquiry,Low
I want to update my payment method for Premium This is affecting my work but I have a workaround for now.,Billing,Medium
The website is extremely slow when I access notifications Would appreciate a fix in the next few days.,Technical Issue,Medium
"Do you offer a trial for notifications before upgrading This is a minor issue, whenever convenient.",Product Inquiry,Low
Getting a 500 server error on the billing portal page Would appreciate a fix in the next few days.,Technical Issue,Medium
"Can you explain the extra charge on my last Basic invoice This is a minor issue, whenever convenient.",Billing,Low
Requesting a bulk upload option in reporting Not blocking me completely but it's annoying.,Feature Request,Medium
I want to update my payment method for Pro Not blocking me completely but it's annoying.,Billing,Medium
Why did my card get billed for Pro when I already cancelled Please look into this when you get a chance.,Billing,Medium
"I would love to see offline support for chat support Low priority, just wanted to check.",Feature Request,Low
I need to change the email linked to my account Please look into this when you get a chance.,Account Access,Medium
"Can I use billing portal on multiple devices No rush, just wanted to flag this.",Product Inquiry,Low
Why did my card get billed for Basic when I already cancelled This is affecting my work but I have a workaround for now.,Billing,Medium
"Can I use notifications on multiple devices Low priority, just wanted to check.",Product Inquiry,Low
Does the monthly plan include search access Would appreciate a fix in the next few days.,Product Inquiry,Medium
My invoice shows an incorrect amount for annual This is affecting my work but I have a workaround for now.,Billing,Medium
The discount code did not apply to my Basic purchase Not blocking me completely but it's annoying.,Billing,Medium
"I would love to see offline support for mobile app This is a minor issue, whenever convenient.",Feature Request,Low
I am locked out of my account after too many login attempts This has been broken for 3 days and no one has responded.,Account Access,High
A calendar view for mobile app would be really useful Please look into this when you get a chance.,Feature Request,Medium
"It would be great if export tool supported dark mode No rush, just wanted to flag this.",Feature Request,Low
Getting a 500 server error on the analytics page This is a major issue affecting our production system.,Technical Issue,High
The reporting button does nothing when I click it Would appreciate a fix in the next few days.,Technical Issue,Medium
The export tool button does nothing when I click it This is a major issue affecting our production system.,Technical Issue,High
"I am locked out of my account after too many login attempts This is a minor issue, whenever convenient.",Account Access,Low
"Can I use dashboard on multiple devices This is a minor issue, whenever convenient.",Product Inquiry,Low
"How many users can I add under the Enterprise plan Low priority, just wanted to check.",Product Inquiry,Low
Can you add keyboard shortcuts for analytics Would appreciate a fix in the next few days.,Feature Request,Medium
What is the difference between annual and the free plan This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
I need to change the email linked to my account Please look into this when you get a chance.,Account Access,Medium
"I would love to see offline support for search Low priority, just wanted to check.",Feature Request,Low
file upload is not loading at all on my device Not blocking me completely but it's annoying.,Technical Issue,Medium
"I cannot log into my account, it says password incorrect This has been broken for 3 days and no one has responded.",Account Access,High
Requesting a bulk upload option in billing portal This is affecting my work but I have a workaround for now.,Feature Request,Medium
"What is the difference between Premium and the free plan No rush, just wanted to flag this.",Product Inquiry,Low
I am getting an error message when I try to use billing portal Not blocking me completely but it's annoying.,Technical Issue,Medium
"Getting a 500 server error on the mobile app page This is blocking my entire team from working, please help ASAP.",Technical Issue,High
"Can you add keyboard shortcuts for analytics Just curious about this, not urgent at all.",Feature Request,Low
"The two factor authentication code never arrives Low priority, just wanted to check.",Account Access,Low
"The discount code did not apply to my monthly purchase Just curious about this, not urgent at all.",Billing,Low
"analytics is not loading at all on my device This is blocking my entire team from working, please help ASAP.",Technical Issue,High
"The app keeps crashing every time I open the search section Low priority, just wanted to check.",Technical Issue,Low
I am locked out of my account after too many login attempts This is a major issue affecting our production system.,Account Access,High
The website is extremely slow when I access file upload This has been broken for 3 days and no one has responded.,Technical Issue,High
Is there a student discount available for Pro Not blocking me completely but it's annoying.,Product Inquiry,Medium
I lost all my data after the dashboard update Please look into this when you get a chance.,Technical Issue,Medium
"The discount code did not apply to my Basic purchase This is blocking my entire team from working, please help ASAP.",Billing,High
I want to update my payment method for Pro This has been broken for 3 days and no one has responded.,Billing,High
"I cannot log into my account, it says password incorrect Low priority, just wanted to check.",Account Access,Low
I was charged twice for my annual subscription this month Please look into this when you get a chance.,Billing,Medium
"Please consider adding multi-language support to search No rush, just wanted to flag this.",Feature Request,Low
"A calendar view for analytics would be really useful This is a minor issue, whenever convenient.",Feature Request,Low
I was charged twice for my annual subscription this month This is a major issue affecting our production system.,Billing,High
"Can you add keyboard shortcuts for chat support No rush, just wanted to flag this.",Feature Request,Low
"I forgot my password and the reset link is not working This is blocking my entire team from working, please help ASAP.",Account Access,High
Someone else may have accessed my account without permission This has been broken for 3 days and no one has responded.,Account Access,High
"How many users can I add under the Enterprise plan This is a minor issue, whenever convenient.",Product Inquiry,Low
Why did my card get billed for Enterprise when I already cancelled Please look into this when you get a chance.,Billing,Medium
"It would be great if mobile app supported dark mode Low priority, just wanted to check.",Feature Request,Low
"I cannot log into my account, it says password incorrect No rush, just wanted to flag this.",Account Access,Low
"The dashboard button does nothing when I click it This is a minor issue, whenever convenient.",Technical Issue,Low
"Does the Premium plan include reporting access Low priority, just wanted to check.",Product Inquiry,Low
"Can you add keyboard shortcuts for reporting No rush, just wanted to flag this.",Feature Request,Low
"Please consider adding multi-language support to dashboard This is blocking my entire team from working, please help ASAP.",Feature Request,High
"I need a refund for the annual plan I cancelled last week Low priority, just wanted to check.",Billing,Low
"I cannot log into my account, it says password incorrect Not blocking me completely but it's annoying.",Account Access,Medium
"What is the difference between Premium and the free plan Low priority, just wanted to check.",Product Inquiry,Low
Getting a 500 server error on the analytics page This is a major issue affecting our production system.,Technical Issue,High
"I need to change the email linked to my account This is blocking my entire team from working, please help ASAP.",Account Access,High
"Do you offer a trial for reporting before upgrading Just curious about this, not urgent at all.",Product Inquiry,Low
"I cannot log into my account, it says password incorrect Low priority, just wanted to check.",Account Access,Low
"I need to change the email linked to my account This is blocking my entire team from working, please help ASAP.",Account Access,High
"Is there a student discount available for annual No rush, just wanted to flag this.",Product Inquiry,Low
I was charged twice for my Premium subscription this month This is a major issue affecting our production system.,Billing,High
I need to change the email linked to my account This has been broken for 3 days and no one has responded.,Account Access,High
I want to update my payment method for annual This is affecting my work but I have a workaround for now.,Billing,Medium
What is the difference between Pro and the free plan Not blocking me completely but it's annoying.,Product Inquiry,Medium
The app keeps crashing every time I open the analytics section I have a deadline today and this is critical.,Technical Issue,High
What integrations are supported with file upload This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
"How many users can I add under the annual plan This is a minor issue, whenever convenient.",Product Inquiry,Low
"I cannot log into my account, it says password incorrect Not blocking me completely but it's annoying.",Account Access,Medium
I forgot my password and the reset link is not working This is affecting my work but I have a workaround for now.,Account Access,Medium
"The two factor authentication code never arrives This is blocking my entire team from working, please help ASAP.",Account Access,High
"Can I use notifications on multiple devices This is a minor issue, whenever convenient.",Product Inquiry,Low
I forgot my password and the reset link is not working This is a major issue affecting our production system.,Account Access,High
I lost all my data after the reporting update Please look into this when you get a chance.,Technical Issue,Medium
"Do you offer a trial for notifications before upgrading No rush, just wanted to flag this.",Product Inquiry,Low
"Do you offer a trial for reporting before upgrading This is a minor issue, whenever convenient.",Product Inquiry,Low
Someone else may have accessed my account without permission Please look into this when you get a chance.,Account Access,Medium
How many users can I add under the Enterprise plan Not blocking me completely but it's annoying.,Product Inquiry,Medium
"It would be great if search supported dark mode No rush, just wanted to flag this.",Feature Request,Low
The discount code did not apply to my Pro purchase This is a major issue affecting our production system.,Billing,High
"Can you explain the extra charge on my last monthly invoice Just curious about this, not urgent at all.",Billing,Low
Does the Basic plan include billing portal access This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
"Can I use notifications on multiple devices This is a minor issue, whenever convenient.",Product Inquiry,Low
"I cannot log into my account, it says password incorrect This is urgent, I need this fixed immediately.",Account Access,High
The discount code did not apply to my monthly purchase Would appreciate a fix in the next few days.,Billing,Medium
"What integrations are supported with search Low priority, just wanted to check.",Product Inquiry,Low
Why did my card get billed for monthly when I already cancelled Would appreciate a fix in the next few days.,Billing,Medium
The discount code did not apply to my monthly purchase I have a deadline today and this is critical.,Billing,High
I want to update my payment method for Pro This is affecting my work but I have a workaround for now.,Billing,Medium
My account got suspended and I do not know why This has been broken for 3 days and no one has responded.,Account Access,High
I am getting an error message when I try to use analytics This is a major issue affecting our production system.,Technical Issue,High
"The website is extremely slow when I access analytics This is blocking my entire team from working, please help ASAP.",Technical Issue,High
billing portal is not loading at all on my device This is affecting my work but I have a workaround for now.,Technical Issue,Medium
The two factor authentication code never arrives This has been broken for 3 days and no one has responded.,Account Access,High
Please consider adding multi-language support to export tool Not blocking me completely but it's annoying.,Feature Request,Medium
"It would be great if file upload supported dark mode This is a minor issue, whenever convenient.",Feature Request,Low
My account got suspended and I do not know why Would appreciate a fix in the next few days.,Account Access,Medium
"My invoice shows an incorrect amount for Premium This is blocking my entire team from working, please help ASAP.",Billing,High
I would love to see offline support for export tool Not blocking me completely but it's annoying.,Feature Request,Medium
"What is the difference between Enterprise and the free plan This is a minor issue, whenever convenient.",Product Inquiry,Low
Please add an export option to chat support Would appreciate a fix in the next few days.,Feature Request,Medium
"How many users can I add under the Basic plan Low priority, just wanted to check.",Product Inquiry,Low
I am getting an error message when I try to use search Not blocking me completely but it's annoying.,Technical Issue,Medium
"Do you offer a trial for analytics before upgrading Low priority, just wanted to check.",Product Inquiry,Low
"What is the difference between Basic and the free plan This is blocking my entire team from working, please help ASAP.",Product Inquiry,High
"I cannot log into my account, it says password incorrect This is affecting my work but I have a workaround for now.",Account Access,Medium
"How many users can I add under the monthly plan No rush, just wanted to flag this.",Product Inquiry,Low
"It would be great if search supported dark mode Just curious about this, not urgent at all.",Feature Request,Low
"A calendar view for notifications would be really useful Low priority, just wanted to check.",Feature Request,Low
"I want to update my payment method for monthly This is urgent, I need this fixed immediately.",Billing,High
Can I use billing portal on multiple devices Please look into this when you get a chance.,Product Inquiry,Medium
I am getting an error message when I try to use export tool Not blocking me completely but it's annoying.,Technical Issue,Medium
I lost all my data after the mobile app update Please look into this when you get a chance.,Technical Issue,Medium
"Can you add keyboard shortcuts for chat support This is a minor issue, whenever convenient.",Feature Request,Low
Someone else may have accessed my account without permission Please look into this when you get a chance.,Account Access,Medium
"The dashboard button does nothing when I click it This is a minor issue, whenever convenient.",Technical Issue,Low
I am getting an error message when I try to use file upload Not blocking me completely but it's annoying.,Technical Issue,Medium
"What is the difference between annual and the free plan Low priority, just wanted to check.",Product Inquiry,Low
Does the monthly plan include billing portal access Would appreciate a fix in the next few days.,Product Inquiry,Medium
I forgot my password and the reset link is not working Please look into this when you get a chance.,Account Access,Medium
"Do you offer a trial for file upload before upgrading Low priority, just wanted to check.",Product Inquiry,Low
The website is extremely slow when I access notifications I have a deadline today and this is critical.,Technical Issue,High
My account got suspended and I do not know why Not blocking me completely but it's annoying.,Account Access,Medium
Someone else may have accessed my account without permission This has been broken for 3 days and no one has responded.,Account Access,High
I was charged twice for my Pro subscription this month Not blocking me completely but it's annoying.,Billing,Medium
Getting a 500 server error on the chat support page I have a deadline today and this is critical.,Technical Issue,High
"I want to update my payment method for Premium This is blocking my entire team from working, please help ASAP.",Billing,High
Why did my card get billed for monthly when I already cancelled This is affecting my work but I have a workaround for now.,Billing,Medium
Do you offer a trial for billing portal before upgrading This has been broken for 3 days and no one has responded.,Product Inquiry,High
My invoice shows an incorrect amount for annual Not blocking me completely but it's annoying.,Billing,Medium
"I was charged twice for my monthly subscription this month Low priority, just wanted to check.",Billing,Low
"The website is extremely slow when I access mobile app This is urgent, I need this fixed immediately.",Technical Issue,High
"I need a refund for the Premium plan I cancelled last week This is blocking my entire team from working, please help ASAP.",Billing,High
"The app keeps crashing every time I open the export tool section This is blocking my entire team from working, please help ASAP.",Technical Issue,High
"Can I use mobile app on multiple devices This is a minor issue, whenever convenient.",Product Inquiry,Low
"How many users can I add under the monthly plan No rush, just wanted to flag this.",Product Inquiry,Low
My invoice shows an incorrect amount for Basic Would appreciate a fix in the next few days.,Billing,Medium
Can I use mobile app on multiple devices Please look into this when you get a chance.,Product Inquiry,Medium
I lost all my data after the export tool update Would appreciate a fix in the next few days.,Technical Issue,Medium
The discount code did not apply to my monthly purchase This is a major issue affecting our production system.,Billing,High
Please add an export option to analytics Please look into this when you get a chance.,Feature Request,Medium
The website is extremely slow when I access billing portal This is a major issue affecting our production system.,Technical Issue,High
"Can you explain the extra charge on my last Basic invoice This is a minor issue, whenever convenient.",Billing,Low
What integrations are supported with analytics This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
"What integrations are supported with dashboard No rush, just wanted to flag this.",Product Inquiry,Low
"I am locked out of my account after too many login attempts Low priority, just wanted to check.",Account Access,Low
"Can you add keyboard shortcuts for search Low priority, just wanted to check.",Feature Request,Low
"Does the monthly plan include search access This is a minor issue, whenever convenient.",Product Inquiry,Low
"I cannot log into my account, it says password incorrect This is affecting my work but I have a workaround for now.",Account Access,Medium
I lost all my data after the analytics update Please look into this when you get a chance.,Technical Issue,Medium
"Someone else may have accessed my account without permission This is urgent, I need this fixed immediately.",Account Access,High
"Does the Enterprise plan include export tool access Just curious about this, not urgent at all.",Product Inquiry,Low
The app keeps crashing every time I open the reporting section This is affecting my work but I have a workaround for now.,Technical Issue,Medium
"Can I use search on multiple devices Just curious about this, not urgent at all.",Product Inquiry,Low
chat support is not loading at all on my device Please look into this when you get a chance.,Technical Issue,Medium
I need a refund for the Enterprise plan I cancelled last week Would appreciate a fix in the next few days.,Billing,Medium
"Please consider adding multi-language support to notifications Just curious about this, not urgent at all.",Feature Request,Low
Why did my card get billed for annual when I already cancelled Would appreciate a fix in the next few days.,Billing,Medium
Can you explain the extra charge on my last monthly invoice This is a major issue affecting our production system.,Billing,High
I was charged twice for my Basic subscription this month I have a deadline today and this is critical.,Billing,High
"What is the difference between Pro and the free plan Low priority, just wanted to check.",Product Inquiry,Low
"analytics is not loading at all on my device Just curious about this, not urgent at all.",Technical Issue,Low
I need to change the email linked to my account This is a major issue affecting our production system.,Account Access,High
"My invoice shows an incorrect amount for Pro Low priority, just wanted to check.",Billing,Low
Why did my card get billed for Premium when I already cancelled Not blocking me completely but it's annoying.,Billing,Medium
I need a refund for the Pro plan I cancelled last week Would appreciate a fix in the next few days.,Billing,Medium
"Please add an export option to file upload Low priority, just wanted to check.",Feature Request,Low
Getting a 500 server error on the mobile app page This has been broken for 3 days and no one has responded.,Technical Issue,High
My invoice shows an incorrect amount for annual Please look into this when you get a chance.,Billing,Medium
"I cannot log into my account, it says password incorrect Would appreciate a fix in the next few days.",Account Access,Medium
My invoice shows an incorrect amount for annual Please look into this when you get a chance.,Billing,Medium
"Getting a 500 server error on the billing portal page This is blocking my entire team from working, please help ASAP.",Technical Issue,High
"I would love to see offline support for file upload No rush, just wanted to flag this.",Feature Request,Low
"It would be great if reporting supported dark mode Low priority, just wanted to check.",Feature Request,Low
Can you explain the extra charge on my last annual invoice This is affecting my work but I have a workaround for now.,Billing,Medium
"file upload is not loading at all on my device Low priority, just wanted to check.",Technical Issue,Low
"The two factor authentication code never arrives This is blocking my entire team from working, please help ASAP.",Account Access,High
"The billing portal button does nothing when I click it This is blocking my entire team from working, please help ASAP.",Technical Issue,High
Is there a student discount available for Premium Would appreciate a fix in the next few days.,Product Inquiry,Medium
"The website is extremely slow when I access notifications This is urgent, I need this fixed immediately.",Technical Issue,High
"My invoice shows an incorrect amount for monthly No rush, just wanted to flag this.",Billing,Low
"The reporting button does nothing when I click it This is blocking my entire team from working, please help ASAP.",Technical Issue,High
I forgot my password and the reset link is not working Would appreciate a fix in the next few days.,Account Access,Medium
The app keeps crashing every time I open the notifications section This is affecting my work but I have a workaround for now.,Technical Issue,Medium
"Why did my card get billed for Basic when I already cancelled This is urgent, I need this fixed immediately.",Billing,High
"I am getting an error message when I try to use analytics This is urgent, I need this fixed immediately.",Technical Issue,High
"Requesting a bulk upload option in billing portal This is urgent, I need this fixed immediately.",Feature Request,High
Getting a 500 server error on the reporting page I have a deadline today and this is critical.,Technical Issue,High
I was charged twice for my Enterprise subscription this month This is a major issue affecting our production system.,Billing,High
"What integrations are supported with analytics Low priority, just wanted to check.",Product Inquiry,Low
"What is the difference between Premium and the free plan Just curious about this, not urgent at all.",Product Inquiry,Low
I forgot my password and the reset link is not working This is affecting my work but I have a workaround for now.,Account Access,Medium
"I forgot my password and the reset link is not working This is urgent, I need this fixed immediately.",Account Access,High
I forgot my password and the reset link is not working This is a major issue affecting our production system.,Account Access,High
"Getting a 500 server error on the dashboard page Just curious about this, not urgent at all.",Technical Issue,Low
"How many users can I add under the Enterprise plan Just curious about this, not urgent at all.",Product Inquiry,Low
Can I use dashboard on multiple devices This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
"The discount code did not apply to my Premium purchase Low priority, just wanted to check.",Billing,Low
"Can you add keyboard shortcuts for mobile app No rush, just wanted to flag this.",Feature Request,Low
Getting a 500 server error on the chat support page Please look into this when you get a chance.,Technical Issue,Medium
"I lost all my data after the file upload update This is a minor issue, whenever convenient.",Technical Issue,Low
I am getting an error message when I try to use file upload Would appreciate a fix in the next few days.,Technical Issue,Medium
"It would be great if file upload supported dark mode This is a minor issue, whenever convenient.",Feature Request,Low
Please add an export option to search Not blocking me completely but it's annoying.,Feature Request,Medium
I was charged twice for my Basic subscription this month Please look into this when you get a chance.,Billing,Medium
"I would love to see offline support for file upload This is a minor issue, whenever convenient.",Feature Request,Low
"reporting is not loading at all on my device Just curious about this, not urgent at all.",Technical Issue,Low
I was charged twice for my Pro subscription this month This is affecting my work but I have a workaround for now.,Billing,Medium
"The discount code did not apply to my annual purchase Just curious about this, not urgent at all.",Billing,Low
How many users can I add under the Basic plan This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
Getting a 500 server error on the notifications page This is affecting my work but I have a workaround for now.,Technical Issue,Medium
Please consider adding multi-language support to file upload This is affecting my work but I have a workaround for now.,Feature Request,Medium
Can I use chat support on multiple devices Please look into this when you get a chance.,Product Inquiry,Medium
I would love to see offline support for dashboard Would appreciate a fix in the next few days.,Feature Request,Medium
Please add an export option to export tool Not blocking me completely but it's annoying.,Feature Request,Medium
billing portal is not loading at all on my device I have a deadline today and this is critical.,Technical Issue,High
Getting a 500 server error on the file upload page I have a deadline today and this is critical.,Technical Issue,High
"I am getting an error message when I try to use billing portal This is urgent, I need this fixed immediately.",Technical Issue,High
I was charged twice for my Enterprise subscription this month This is affecting my work but I have a workaround for now.,Billing,Medium
"Is there a student discount available for Enterprise No rush, just wanted to flag this.",Product Inquiry,Low
What integrations are supported with mobile app Please look into this when you get a chance.,Product Inquiry,Medium
"I need a refund for the Basic plan I cancelled last week This is urgent, I need this fixed immediately.",Billing,High
"I need a refund for the Pro plan I cancelled last week This is urgent, I need this fixed immediately.",Billing,High
"It would be great if export tool supported dark mode Low priority, just wanted to check.",Feature Request,Low
Why did my card get billed for monthly when I already cancelled Not blocking me completely but it's annoying.,Billing,Medium
"The app keeps crashing every time I open the file upload section This is blocking my entire team from working, please help ASAP.",Technical Issue,High
Do you offer a trial for search before upgrading Would appreciate a fix in the next few days.,Product Inquiry,Medium
I am locked out of my account after too many login attempts This is a major issue affecting our production system.,Account Access,High
"What is the difference between Basic and the free plan This is urgent, I need this fixed immediately.",Product Inquiry,High
"I need to change the email linked to my account This is urgent, I need this fixed immediately.",Account Access,High
"My invoice shows an incorrect amount for Pro Low priority, just wanted to check.",Billing,Low
I need a refund for the Enterprise plan I cancelled last week Would appreciate a fix in the next few days.,Billing,Medium
I want to update my payment method for annual This has been broken for 3 days and no one has responded.,Billing,High
I am locked out of my account after too many login attempts This has been broken for 3 days and no one has responded.,Account Access,High
"I am locked out of my account after too many login attempts This is urgent, I need this fixed immediately.",Account Access,High
I want to update my payment method for Premium This is affecting my work but I have a workaround for now.,Billing,Medium
It would be great if search supported dark mode Not blocking me completely but it's annoying.,Feature Request,Medium
"Please add an export option to chat support This is urgent, I need this fixed immediately.",Feature Request,High
"Requesting a bulk upload option in export tool This is a minor issue, whenever convenient.",Feature Request,Low
"The discount code did not apply to my Enterprise purchase This is a minor issue, whenever convenient.",Billing,Low
"The reporting button does nothing when I click it This is urgent, I need this fixed immediately.",Technical Issue,High
"What is the difference between monthly and the free plan Just curious about this, not urgent at all.",Product Inquiry,Low
Someone else may have accessed my account without permission This has been broken for 3 days and no one has responded.,Account Access,High
"Can you add keyboard shortcuts for search No rush, just wanted to flag this.",Feature Request,Low
Requesting a bulk upload option in analytics This is affecting my work but I have a workaround for now.,Feature Request,Medium
I lost all my data after the export tool update Please look into this when you get a chance.,Technical Issue,Medium
"Can you explain the extra charge on my last Basic invoice Just curious about this, not urgent at all.",Billing,Low
"Can I use notifications on multiple devices Low priority, just wanted to check.",Product Inquiry,Low
My invoice shows an incorrect amount for Premium This is a major issue affecting our production system.,Billing,High
"Does the Enterprise plan include file upload access No rush, just wanted to flag this.",Product Inquiry,Low
Can I use dashboard on multiple devices Would appreciate a fix in the next few days.,Product Inquiry,Medium
"The two factor authentication code never arrives This is a minor issue, whenever convenient.",Account Access,Low
notifications is not loading at all on my device Would appreciate a fix in the next few days.,Technical Issue,Medium
Someone else may have accessed my account without permission This is affecting my work but I have a workaround for now.,Account Access,Medium
"What is the difference between Enterprise and the free plan Just curious about this, not urgent at all.",Product Inquiry,Low
Can you explain the extra charge on my last Pro invoice Not blocking me completely but it's annoying.,Billing,Medium
"The export tool button does nothing when I click it This is blocking my entire team from working, please help ASAP.",Technical Issue,High
"The mobile app button does nothing when I click it This is urgent, I need this fixed immediately.",Technical Issue,High
Someone else may have accessed my account without permission This has been broken for 3 days and no one has responded.,Account Access,High
"I would love to see offline support for billing portal This is a minor issue, whenever convenient.",Feature Request,Low
I forgot my password and the reset link is not working This has been broken for 3 days and no one has responded.,Account Access,High
Requesting a bulk upload option in file upload Would appreciate a fix in the next few days.,Feature Request,Medium
I need a refund for the Basic plan I cancelled last week This is a major issue affecting our production system.,Billing,High
The mobile app button does nothing when I click it Would appreciate a fix in the next few days.,Technical Issue,Medium
"How many users can I add under the Basic plan This is a minor issue, whenever convenient.",Product Inquiry,Low
I lost all my data after the mobile app update I have a deadline today and this is critical.,Technical Issue,High
"I forgot my password and the reset link is not working This is blocking my entire team from working, please help ASAP.",Account Access,High
"Can I use search on multiple devices Low priority, just wanted to check.",Product Inquiry,Low
"It would be great if search supported dark mode Just curious about this, not urgent at all.",Feature Request,Low
Please consider adding multi-language support to export tool Please look into this when you get a chance.,Feature Request,Medium
"Does the Premium plan include chat support access Just curious about this, not urgent at all.",Product Inquiry,Low
Someone else may have accessed my account without permission This is a major issue affecting our production system.,Account Access,High
The app keeps crashing every time I open the analytics section This is affecting my work but I have a workaround for now.,Technical Issue,Medium
I want to update my payment method for Enterprise This has been broken for 3 days and no one has responded.,Billing,High
"Is there a student discount available for monthly This is a minor issue, whenever convenient.",Product Inquiry,Low
Someone else may have accessed my account without permission Not blocking me completely but it's annoying.,Account Access,Medium
My account got suspended and I do not know why This is affecting my work but I have a workaround for now.,Account Access,Medium
"I cannot log into my account, it says password incorrect This is affecting my work but I have a workaround for now.",Account Access,Medium
Someone else may have accessed my account without permission I have a deadline today and this is critical.,Account Access,High
What integrations are supported with file upload Would appreciate a fix in the next few days.,Product Inquiry,Medium
What integrations are supported with notifications This is a major issue affecting our production system.,Product Inquiry,High
"Requesting a bulk upload option in notifications No rush, just wanted to flag this.",Feature Request,Low
"How many users can I add under the Premium plan This is blocking my entire team from working, please help ASAP.",Product Inquiry,High
"I am getting an error message when I try to use analytics Low priority, just wanted to check.",Technical Issue,Low
reporting is not loading at all on my device Not blocking me completely but it's annoying.,Technical Issue,Medium
Someone else may have accessed my account without permission Please look into this when you get a chance.,Account Access,Medium
"Can I use reporting on multiple devices This is a minor issue, whenever convenient.",Product Inquiry,Low
"What integrations are supported with reporting Low priority, just wanted to check.",Product Inquiry,Low
Is there a student discount available for Enterprise This is a major issue affecting our production system.,Product Inquiry,High
"Getting a 500 server error on the dashboard page This is a minor issue, whenever convenient.",Technical Issue,Low
I want to update my payment method for Basic I have a deadline today and this is critical.,Billing,High
I am locked out of my account after too many login attempts Would appreciate a fix in the next few days.,Account Access,Medium
"The app keeps crashing every time I open the chat support section Low priority, just wanted to check.",Technical Issue,Low
Requesting a bulk upload option in file upload This is affecting my work but I have a workaround for now.,Feature Request,Medium
I forgot my password and the reset link is not working This has been broken for 3 days and no one has responded.,Account Access,High
"My invoice shows an incorrect amount for Pro This is urgent, I need this fixed immediately.",Billing,High
Requesting a bulk upload option in billing portal Please look into this when you get a chance.,Feature Request,Medium
"Do you offer a trial for search before upgrading No rush, just wanted to flag this.",Product Inquiry,Low
I want to update my payment method for Basic Not blocking me completely but it's annoying.,Billing,Medium
Is there a student discount available for Basic This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
"Getting a 500 server error on the dashboard page This is urgent, I need this fixed immediately.",Technical Issue,High
